"SUID","AbsWeight","interaction","name","Qual","selected","shared interaction","shared name","Wght"
"700","0.486","Affects","Ea (Affects) Pa","-1.0","false","Affects","Ea (Affects) Pa","-0.486"
"701","0.632","Affects","Ea (Affects) Pch","-1.0","false","Affects","Ea (Affects) Pch","-0.632"
"702","0.001","Affects","Ea (Affects) Pci","1.0","false","Affects","Ea (Affects) Pci","0.001"
"703","0.608","Affects","Ea (Affects) Pf","-1.0","false","Affects","Ea (Affects) Pf","-0.608"
"704","0.999","Affects","Ea (Affects) Pp","-1.0","false","Affects","Ea (Affects) Pp","-0.999"
"705","0.999","Affects","Ea (Affects) Pv","-1.0","false","Affects","Ea (Affects) Pv","-0.999"
"706","0.58","Affects","Ea (Affects) Sm","-1.0","false","Affects","Ea (Affects) Sm","-0.58"
"707","1.829","Affects","Pa (Affects) Ea","1.0","false","Affects","Pa (Affects) Ea","1.829"
"708","1.436","Affects","Pa (Affects) Pch","-1.0","false","Affects","Pa (Affects) Pch","-1.436"
"709","0.051","Affects","Pa (Affects) Pci","1.0","false","Affects","Pa (Affects) Pci","0.051"
"710","0.641","Affects","Pa (Affects) Pf","-1.0","false","Affects","Pa (Affects) Pf","-0.641"
"711","0.062","Affects","Pa (Affects) Pp","-1.0","false","Affects","Pa (Affects) Pp","-0.062"
"712","1.416","Affects","Pa (Affects) Pv","1.0","false","Affects","Pa (Affects) Pv","1.416"
"713","0.336","Affects","Pa (Affects) Sm","-1.0","false","Affects","Pa (Affects) Sm","-0.336"
"714","0.892","Affects","Pch (Affects) Ea","1.0","false","Affects","Pch (Affects) Ea","0.892"
"715","0.39","Affects","Pch (Affects) Pa","1.0","false","Affects","Pch (Affects) Pa","0.39"
"716","0.167","Affects","Pch (Affects) Pci","1.0","false","Affects","Pch (Affects) Pci","0.167"
"717","0.242","Affects","Pch (Affects) Pf","-1.0","false","Affects","Pch (Affects) Pf","-0.242"
"718","1.221","Affects","Pch (Affects) Pp","1.0","false","Affects","Pch (Affects) Pp","1.221"
"719","0.832","Affects","Pch (Affects) Pv","1.0","false","Affects","Pch (Affects) Pv","0.832"
"720","0.269","Affects","Pch (Affects) Sm","1.0","false","Affects","Pch (Affects) Sm","0.269"
"721","24.167","Affects","Pci (Affects) Ea","1.0","false","Affects","Pci (Affects) Ea","24.167"
"722","4.832","Affects","Pci (Affects) Pa","-1.0","false","Affects","Pci (Affects) Pa","-4.832"
"723","0.999","Affects","Pci (Affects) Pch","-1.0","false","Affects","Pci (Affects) Pch","-0.999"
"724","387583.497","Affects","Pci (Affects) Pf","1.0","false","Affects","Pci (Affects) Pf","387583.497"
"725","0.999","Affects","Pci (Affects) Pp","-1.0","false","Affects","Pci (Affects) Pp","-0.999"
"726","0.114","Affects","Pci (Affects) Pv","-1.0","false","Affects","Pci (Affects) Pv","-0.114"
