,Source,Target,Wght,Stype,Qual,AbsWeight
0,Ea,Y1,-1.359768499623295,S,-1,1.359768499623295
1,Y1,Ea,1.359768499623295,R1,1,1.359768499623295
0,Pa,Y1,-1.6126176171726603,S,-1,1.6126176171726603
1,Y1,Pa,1.6126176171726603,R1,1,1.6126176171726603
0,Pch,Y1,-2.0,S,-1,2.0
1,Y1,Pch,2.0,R1,1,2.0
0,Pci,Y1,-1.1,S,-1,1.1
1,Y1,Pci,1.1,R1,1,1.1
0,Pf,Y1,-1.4675096100204383,S,-1,1.4675096100204383
1,Y1,Pf,1.4675096100204383,R1,1,1.4675096100204383
0,Pp,Y1,-1.9,S,-1,1.9
1,Y1,Pp,1.9,R1,1,1.9
0,Pv,Y1,-1.5586471333355223,S,-1,1.5586471333355223
1,Y1,Pv,1.5586471333355223,R1,1,1.5586471333355223
0,Sm,Y1,-1.2,S,-1,1.2
1,Y1,Sm,1.2,R1,1,1.2
0,Pa,Y2,1.6126176171726603,S,1,1.6126176171726603
0,Ea,Y2,-1.8853370091947879,S,-1.0,1.8853370091947879
1,Y2,Ea,1.8853370091947879,R2,1.0,1.8853370091947879
0,Pch,Y3,2.0,S,1,2.0
0,Ea,Y3,-2.5307016917113536,S,-1.0,2.5307016917113536
1,Y3,Ea,2.5307016917113536,R2,1.0,2.5307016917113536
0,Ea,Y4,1.359768499623295,S,1,1.359768499623295
0,Pci,Y4,-1.8866739549418172,S,-1.0,1.8866739549418172
1,Y4,Pci,1.8866739549418172,R2,1.0,1.8866739549418172
0,Pf,Y5,1.4675096100204383,S,1,1.4675096100204383
0,Ea,Y5,-1.8368780620955039,S,-1.0,1.8368780620955039
1,Y5,Ea,1.8368780620955039,R2,1.0,1.8368780620955039
0,Pp,Y6,1.9,S,1,1.9
0,Ea,Y6,-2.55016098971193,S,-1.0,2.55016098971193
1,Y6,Ea,2.55016098971193,R2,1.0,2.55016098971193
0,Pv,Y7,1.5586471333355223,S,1,1.5586471333355223
0,Ea,Y7,-1.6776459056889612,S,-1.0,1.6776459056889612
1,Y7,Ea,1.6776459056889612,R2,1.0,1.6776459056889612
0,Pa,Y11,1.6126176171726603,S,1,1.6126176171726603
0,Pf,Y11,-1.0748805956205973,S,-1.0,1.0748805956205973
1,Y11,Pf,1.0748805956205973,R2,1.0,1.0748805956205973
0,Pp,Y12,1.9,S,1,1.9
0,Pa,Y12,-2.157841100522753,S,-1.0,2.157841100522753
1,Y12,Pa,2.157841100522753,R2,1.0,2.157841100522753
0,Pa,Y13,1.6126176171726603,S,1,1.6126176171726603
0,Pv,Y13,-1.3149851236623213,S,-1.0,1.3149851236623213
1,Y13,Pv,1.3149851236623213,R2,1.0,1.3149851236623213
0,Pa,Y14,1.6126176171726603,S,1,1.6126176171726603
0,Sm,Y14,-2.3077019055120713,S,-1.0,2.3077019055120713
1,Y14,Sm,2.3077019055120713,R2,1.0,2.3077019055120713
0,Pp,Y17,1.9,S,1,1.9
0,Pch,Y17,-1.0638297872340428,S,-1.0,1.0638297872340428
1,Y17,Pch,1.0638297872340428,R2,1.0,1.0638297872340428
0,Pch,Y18,2.0,S,1,2.0
0,Pv,Y18,-2.2937476748665047,S,-1.0,2.2937476748665047
1,Y18,Pv,2.2937476748665047,R2,1.0,2.2937476748665047
0,Pch,Y19,2.0,S,1,2.0
0,Sm,Y19,-2.6974674880219025,S,-1.0,2.6974674880219025
1,Y19,Sm,2.6974674880219025,R2,1.0,2.6974674880219025
0,Pf,Y20,1.4675096100204383,S,1,1.4675096100204383
0,Pci,Y20,-2.296278426371656,S,-1.0,2.296278426371656
1,Y20,Pci,2.296278426371656,R2,1.0,2.296278426371656
0,Sm,Y23,1.2,S,1,1.2
0,Pci,Y23,-1.2602230483271375,S,-1.0,1.2602230483271375
1,Y23,Pci,1.2602230483271375,R2,1.0,1.2602230483271375
0,Pp,Y24,1.9,S,1,1.9
0,Pf,Y24,-2.1021917243990202,S,-1.0,2.1021917243990202
1,Y24,Pf,2.1021917243990202,R2,1.0,2.1021917243990202
0,Pf,Y25,1.4675096100204383,S,1,1.4675096100204383
0,Pv,Y25,-1.241492098747146,S,-1.0,1.241492098747146
1,Y25,Pv,1.241492098747146,R2,1.0,1.241492098747146
0,Pf,Y26,1.4675096100204383,S,1,1.4675096100204383
